time_s,goal_steer_deg,curr_steer_deg
1746813494.410,134.060,0.000
1746813494.419,134.130,134.060
1746813494.516,134.880,134.130
1746813494.616,123.050,134.880
1746813494.717,135.000,123.050
1746813494.816,135.000,135.000
1746813494.916,138.000,135.000
1746813495.016,103.560,138.000
1746813495.116,103.560,103.560
1746813495.218,103.560,103.560
1746813495.317,103.560,103.560
1746813495.416,76.370,103.560
1746813495.517,76.370,76.370
1746813495.616,76.370,76.370
1746813495.716,76.370,76.370
1746813495.817,98.380,76.370
1746813495.916,98.380,98.380
1746813496.028,98.380,98.380
1746813496.116,73.990,98.380
1746813496.217,31.130,73.990
1746813496.316,31.130,31.130
1746813496.416,31.130,31.130
1746813496.516,-125.500,31.130
1746813496.616,-170.990,-125.500
1746813496.716,-171.950,-170.990
1746813496.816,-209.070,-171.950
1746813496.917,-229.370,-209.070
1746813497.017,-229.370,-229.370
1746813497.116,-250.730,-229.370
1746813497.216,-271.400,-250.730
1746813497.316,-271.400,-271.400
1746813497.416,-271.400,-271.400
1746813497.519,-274.400,-271.400
1746813497.623,-302.980,-274.400
1746813497.717,-302.980,-302.980
1746813497.816,-302.980,-302.980
1746813497.917,-308.420,-302.980
1746813498.019,-330.020,-308.420
1746813498.116,-330.020,-330.020
1746813498.217,-488.830,-330.020
1746813498.318,-305.490,-488.830
1746813498.416,-305.490,-305.490
1746813498.516,-305.490,-305.490
1746813498.616,-264.760,-305.490
1746813498.716,-264.760,-264.760
1746813498.816,-264.760,-264.760
1746813498.917,-264.760,-264.760
1746813499.017,-210.840,-264.760
1746813499.116,-210.840,-210.840
1746813499.216,-204.180,-210.840
1746813499.316,-138.230,-204.180
1746813499.416,-138.230,-138.230
1746813499.516,-127.360,-138.230
1746813499.616,-90.600,-127.360
1746813499.716,-90.600,-90.600
1746813499.816,-90.600,-90.600
1746813499.916,-55.320,-90.600
1746813500.017,-55.320,-55.320
1746813500.116,-39.390,-55.320
1746813500.217,-13.300,-39.390
1746813500.316,-13.300,-13.300
1746813500.416,-13.300,-13.300
1746813500.516,6.940,-13.300
1746813500.616,6.990,6.940
1746813500.716,15.430,6.990
1746813500.816,27.820,15.430
1746813500.916,27.990,27.820
1746813501.016,30.370,27.990
1746813501.116,35.680,30.370
1746813501.216,35.890,35.680
1746813501.316,36.110,35.890
1746813501.416,39.490,36.110
1746813501.516,39.720,39.490
1746813501.616,39.950,39.720
1746813501.716,36.770,39.950
1746813501.816,36.980,36.770
1746813501.916,37.190,36.980
1746813502.016,28.600,37.190
1746813502.116,28.760,28.600
1746813502.216,28.920,28.760
1746813502.316,29.080,28.920
1746813502.416,23.330,29.080
1746813502.516,16.730,23.330
1746813502.616,16.730,16.730
1746813502.716,16.730,16.730
1746813502.816,-5.200,16.730
1746813502.916,-5.240,-5.200
1746813503.018,-10.970,-5.240
1746813503.116,-22.620,-10.970
1746813503.216,-22.760,-22.620
1746813503.316,-22.900,-22.760
1746813503.417,-26.480,-22.900
1746813503.516,-38.130,-26.480
1746813503.616,-38.360,-38.130
1746813503.718,-43.940,-38.360
1746813503.817,-58.500,-43.940
1746813503.916,-58.840,-58.500
1746813504.016,-59.180,-58.840
1746813504.116,37.380,-59.180
1746813504.217,37.600,37.380
1746813504.316,37.820,37.600
1746813504.416,31.200,37.820
1746813504.516,18.130,31.200
1746813504.616,18.240,18.130
1746813504.716,18.340,18.240
1746813504.817,-14.690,18.340
1746813504.916,-14.770,-14.690
1746813505.016,-14.860,-14.770
1746813505.117,-88.590,-14.860
1746813505.216,-89.100,-88.590
1746813505.317,-89.610,-89.100
1746813505.416,-296.250,-89.610
1746813505.516,-296.250,-296.250
1746813505.616,-296.250,-296.250
1746813505.716,-319.470,-296.250
1746813505.828,-137.770,-319.470
1746813505.916,-137.770,-137.770
1746813506.016,-137.770,-137.770
1746813506.121,629.340,-137.770
1746813506.217,616.680,629.340
