time_s,goal_steer_deg,curr_steer_deg
1746816432.848,-29.760,0.000
1746816432.948,-30.030,-29.760
1746816433.048,-30.310,-30.030
1746816433.147,-30.590,-30.310
1746816433.248,-30.860,-30.590
1746816433.348,-31.140,-30.860
1746816433.448,-31.420,-31.140
1746816433.548,-31.700,-31.420
1746816433.648,-202.880,-31.700
1746816433.748,-30.730,-202.880
1746816433.848,-29.780,-30.730
1746816433.948,-30.500,-29.780
1746816434.048,-28.440,-30.500
1746816434.148,-26.380,-28.440
1746816434.248,-23.530,-26.380
1746816434.348,-23.160,-23.530
1746816434.448,-24.110,-23.160
1746816434.548,-23.390,-24.110
1746816434.648,-23.390,-23.390
1746816434.748,-21.320,-23.390
1746816434.848,-25.460,-21.320
1746816434.948,-31.130,-25.460
1746816435.048,-28.900,-31.130
1746816435.147,-27.950,-28.900
1746816435.248,-23.390,-27.950
1746816435.348,-9.790,-23.390
1746816435.448,3.710,-9.790
1746816435.548,-33.020,3.710
1746816435.648,-43.970,-33.020
1746816435.748,-34.160,-43.970
1746816435.848,27.460,-34.160
1746816435.948,18.220,27.460
1746816436.048,9.560,18.220
1746816436.148,8.720,9.560
1746816436.248,21.410,8.720
1746816436.348,16.880,21.410
1746816436.448,18.580,16.880
1746816436.548,78.120,18.580
1746816436.648,72.960,78.120
1746816436.748,209.820,72.960
1746816436.848,28.490,209.820
1746816436.948,-14.860,28.490
1746816437.048,2.740,-14.860
1746816437.148,0.400,2.740
1746816437.248,-4.300,0.400
1746816437.349,-8.800,-4.300
1746816437.448,-10.830,-8.800
1746816437.548,-8.520,-10.830
1746816437.648,-7.480,-8.520
1746816437.748,-9.670,-7.480
1746816437.847,-9.770,-9.670
1746816437.948,-4.510,-9.770
1746816438.048,-5.520,-4.510
1746816438.148,0.900,-5.520
1746816438.248,0.950,0.900
1746816438.348,6.710,0.950
1746816438.447,5.410,6.710
1746816438.548,11.050,5.410
1746816438.648,14.170,11.050
1746816438.747,17.080,14.170
1746816438.848,22.560,17.080
1746816438.948,26.230,22.560
1746816439.048,29.930,26.230
1746816439.147,25.230,29.930
1746816439.248,29.360,25.230
1746816439.348,25.690,29.360
1746816439.448,28.670,25.690
1746816439.548,46.700,28.670
1746816439.649,48.970,46.700
1746816439.748,56.670,48.970
1746816439.847,12.800,56.670
1746816439.948,60.060,12.800
1746816440.048,160.680,60.060
1746816440.148,153.370,160.680
1746816440.248,164.110,153.370
1746816440.348,169.390,164.110
1746816440.448,152.720,169.390
1746816440.548,164.960,152.720
1746816440.648,169.370,164.960
1746816440.748,169.030,169.370
1746816440.848,150.140,169.030
1746816440.948,201.620,150.140
1746816441.048,190.680,201.620
1746816441.148,177.970,190.680
1746816441.248,151.000,177.970
1746816441.347,145.380,151.000
1746816441.447,142.570,145.380
1746816441.548,133.230,142.570
1746816441.648,126.470,133.230
1746816441.748,120.790,126.470
1746816441.848,114.640,120.790
1746816441.948,111.780,114.640
1746816442.048,108.150,111.780
1746816442.148,110.000,108.150
1746816442.248,108.920,110.000
1746816442.347,108.010,108.920
1746816442.448,115.520,108.010
1746816442.548,117.060,115.520
1746816442.648,119.770,117.060
1746816442.748,122.980,119.770
1746816442.848,126.690,122.980
1746816442.948,129.750,126.690
1746816443.048,136.060,129.750
1746816443.148,141.270,136.060
1746816443.248,144.520,141.270
1746816443.348,151.650,144.520
1746816443.448,158.960,151.650
1746816443.548,164.110,158.960
1746816443.648,176.270,164.110
1746816443.748,41.010,176.270
1746816443.848,174.570,41.010
1746816443.948,42.380,174.570
1746816444.048,36.740,42.380
1746816444.148,38.270,36.740
1746816444.248,36.680,38.270
1746816444.348,39.410,36.680
1746816444.448,40.350,39.410
1746816444.548,245.540,40.350
1746816444.648,156.600,245.540
1746816444.747,148.840,156.600
1746816444.847,270.910,148.840
1746816444.948,198.680,270.910
1746816445.048,115.740,198.680
1746816445.148,49.420,115.740
1746816445.248,-22.120,49.420
1746816445.348,-618.380,-22.120
1746816445.448,-599.830,-618.380
1746816445.548,-469.890,-599.830
1746816445.647,-485.400,-469.890
1746816445.748,-608.680,-485.400
1746816445.848,-629.340,-608.680
1746816445.948,-629.340,-629.340
1746816446.048,-629.340,-629.340
1746816446.148,-629.340,-629.340
1746816446.248,-629.340,-629.340
1746816446.348,-629.340,-629.340
1746816446.448,-629.340,-629.340
1746816446.548,-629.340,-629.340
1746816446.648,-629.340,-629.340
1746816446.748,-629.340,-629.340
1746816446.848,-629.340,-629.340
1746816446.948,-629.340,-629.340
1746816447.048,-629.340,-629.340
1746816447.148,-629.340,-629.340
1746816447.248,-629.340,-629.340
1746816447.348,-629.340,-629.340
1746816447.448,-629.340,-629.340
1746816447.548,-629.340,-629.340
1746816447.648,-629.340,-629.340
1746816447.748,-618.070,-629.340
1746816447.848,-614.230,-618.070
1746816447.948,-521.400,-614.230
1746816448.048,-629.340,-521.400
1746816448.148,-629.340,-629.340
1746816448.248,-629.340,-629.340
1746816448.348,-629.340,-629.340
1746816448.448,-629.340,-629.340
1746816448.548,-586.000,-629.340
1746816448.648,-565.060,-586.000
1746816448.748,-450.450,-565.060
1746816448.848,-447.060,-450.450
1746816448.947,-467.430,-447.060
1746816449.048,-246.150,-467.430
1746816449.148,-169.450,-246.150
1746816449.248,-172.650,-169.450
1746816449.348,-163.040,-172.650
1746816449.448,-156.600,-163.040
1746816449.548,47.500,-156.600
1746816449.647,57.570,47.500
1746816449.748,63.350,57.570
1746816449.848,67.810,63.350
1746816449.948,84.270,67.810
1746816450.048,88.630,84.270
1746816450.148,95.270,88.630
1746816450.248,122.100,95.270
1746816450.348,132.360,122.100
1746816450.447,142.570,132.360
1746816450.548,163.680,142.570
1746816450.648,176.060,163.680
1746816450.748,181.370,176.060
1746816450.848,204.770,181.370
1746816450.948,232.400,204.770
1746816451.048,244.100,232.400
1746816451.148,273.330,244.100
1746816451.248,284.950,273.330
1746816451.348,287.950,284.950
1746816451.448,309.530,287.950
1746816451.548,335.660,309.530
1746816451.648,331.790,335.660
1746816451.748,370.820,331.790
1746816451.848,387.900,370.820
1746816451.947,384.820,387.900
1746816452.048,400.160,384.820
1746816452.148,421.270,400.160
1746816452.248,417.620,421.270
1746816452.348,477.930,417.620
1746816452.448,459.680,477.930
1746816452.548,464.260,459.680
1746816452.648,377.410,464.260
1746816452.747,376.640,377.410
1746816452.847,373.340,376.640
1746816452.948,373.270,373.340
1746816453.048,368.930,373.270
1746816453.148,366.280,368.930
1746816453.248,357.540,366.280
1746816453.348,350.860,357.540
1746816453.448,347.030,350.860
1746816453.548,327.520,347.030
1746816453.648,314.240,327.520
1746816453.747,309.330,314.240
1746816453.848,283.750,309.330
1746816453.948,269.700,283.750
1746816454.048,260.200,269.700
1746816454.148,244.920,260.200
1746816454.248,238.160,244.920
1746816454.347,224.960,238.160
1746816454.448,213.540,224.960
1746816454.548,209.780,213.540
1746816454.648,206.650,209.780
1746816454.748,202.460,206.650
1746816454.848,198.120,202.460
1746816454.948,198.810,198.120
1746816455.048,195.580,198.810
1746816455.148,198.660,195.580
1746816455.248,195.830,198.660
1746816455.348,195.000,195.830
1746816455.448,200.230,195.000
1746816455.548,200.000,200.230
1746816455.648,200.410,200.000
1746816455.748,198.230,200.410
1746816455.848,201.490,198.230
1746816455.948,200.990,201.490
1746816456.048,203.300,200.990
1746816456.148,204.770,203.300
1746816456.248,206.860,204.770
1746816456.348,209.160,206.860
1746816456.448,210.830,209.160
1746816456.548,214.160,210.830
1746816456.648,218.460,214.160
1746816456.748,219.490,218.460
1746816456.848,220.610,219.490
1746816456.948,222.890,220.610
1746816457.048,224.340,222.890
1746816457.148,227.240,224.340
1746816457.248,228.680,227.240
1746816457.348,238.360,228.680
1746816457.448,234.990,238.360
1746816457.548,239.390,234.990
1746816457.648,247.380,239.390
1746816457.748,243.160,247.380
1746816457.848,249.720,243.160
1746816457.948,249.010,249.720
1746816458.048,257.360,249.010
1746816458.148,258.200,257.360
1746816458.248,259.240,258.200
1746816458.348,264.450,259.240
1746816458.448,266.270,264.450
1746816458.548,221.020,266.270
1746816458.648,274.130,221.020
1746816458.748,275.740,274.130
1746816458.848,277.390,275.740
1746816458.948,282.550,277.390
1746816459.048,285.950,282.550
1746816459.148,288.340,285.950
1746816459.248,292.520,288.340
1746816459.348,294.310,292.520
1746816459.448,296.770,294.310
1746816459.548,298.080,296.770
1746816459.648,302.980,298.080
1746816459.748,300.900,302.980
1746816459.848,302.630,300.900
1746816459.948,305.070,302.630
1746816460.048,264.450,305.070
1746816460.148,226.820,264.450
1746816460.248,305.790,226.820
1746816460.348,306.600,305.790
1746816460.448,193.210,306.600
1746816460.548,152.940,193.210
1746816460.648,235.490,152.940
1746816460.748,150.570,235.490
1746816460.848,155.740,150.570
1746816460.948,150.570,155.740
1746816461.048,166.250,150.570
1746816461.148,170.090,166.250
1746816461.248,132.150,170.090
1746816461.348,190.470,132.150
1746816461.448,155.520,190.470
1746816461.548,254.510,155.520
1746816461.648,238.360,254.510
1746816461.748,314.830,238.360
1746816461.848,258.980,314.830
1746816461.948,333.920,258.980
1746816462.048,385.290,333.920
1746816462.148,395.720,385.290
1746816462.248,388.270,395.720
1746816462.348,453.120,388.270
1746816462.448,461.270,453.120
1746816462.548,311.690,461.270
1746816462.648,322.650,311.690
1746816462.748,367.990,322.650
1746816462.848,455.780,367.990
1746816462.948,517.530,455.780
1746816463.048,518.710,517.530
1746816463.148,463.210,518.710
1746816463.248,547.800,463.210
1746816463.348,524.250,547.800
1746816463.448,466.730,524.250
1746816463.548,463.740,466.730
1746816463.648,461.620,463.740
1746816463.748,460.210,461.620
1746816463.848,514.830,460.210
1746816463.948,453.470,514.830
1746816464.048,501.750,453.470
1746816464.148,439.000,501.750
1746816464.248,432.150,439.000
1746816464.348,421.630,432.150
1746816464.448,342.990,421.630
1746816464.548,334.310,342.990
1746816464.648,455.780,334.310
1746816464.748,451.510,455.780
1746816464.848,447.590,451.510
1746816464.948,450.450,447.590
1746816465.048,445.810,450.450
1746816465.148,444.380,445.810
1746816465.248,442.940,444.380
1746816465.348,441.330,442.940
1746816465.448,436.660,441.330
1746816465.548,424.910,436.660
1746816465.648,421.090,424.910
1746816465.748,413.050,421.090
1746816465.848,330.620,413.050
1746816465.948,392.740,330.620
1746816466.048,388.830,392.740
1746816466.148,381.540,388.830
1746816466.248,381.540,381.540
1746816466.348,379.230,381.540
1746816466.448,372.900,379.230
1746816466.548,374.780,372.900
1746816466.648,372.900,374.780
1746816466.748,369.120,372.900
1746816466.848,366.000,369.120
1746816466.948,373.040,366.000
1746816467.048,366.280,373.040
1746816467.148,364.720,366.280
1746816467.248,368.740,364.720
1746816467.348,362.870,368.740
1746816467.448,360.400,362.870
1746816467.548,364.310,360.400
1746816467.648,358.990,364.310
1746816467.748,359.450,358.990
1746816467.848,355.520,359.450
1746816467.948,363.440,355.520
1746816468.048,361.160,363.440
1746816468.148,361.160,361.160
1746816468.248,297.490,361.160
1746816468.348,359.260,297.490
1746816468.448,364.010,359.260
1746816468.548,439.720,364.010
1746816468.648,437.380,439.720
1746816468.748,365.150,437.380
1746816468.848,379.480,365.150
1746816468.948,414.880,379.480
1746816469.048,378.350,414.880
1746816469.148,336.050,378.350
1746816469.248,337.980,336.050
1746816469.348,336.390,337.980
1746816469.448,336.050,336.390
1746816469.548,334.110,336.050
1746816469.648,335.470,334.110
1746816469.748,380.230,335.470
1746816469.848,383.980,380.230
1746816469.949,385.660,383.980
1746816470.048,392.000,385.660
1746816470.148,394.230,392.000
1746816470.248,398.680,394.230
1746816470.348,403.250,398.680
1746816470.448,396.460,403.250
1746816470.548,395.690,396.460
1746816470.648,392.450,395.690
1746816470.748,393.860,392.450
1746816470.848,389.250,393.860
1746816470.948,396.570,389.250
1746816471.048,450.980,396.570
1746816471.148,449.020,450.980
1746816471.248,447.420,449.020
1746816471.348,446.680,447.420
1746816471.448,444.730,446.680
1746816471.548,383.230,444.730
1746816471.648,392.190,383.230
1746816471.748,302.830,392.190
1746816471.848,298.080,302.830
1746816471.948,358.690,298.080
1746816472.048,355.830,358.690
1746816472.148,351.240,355.830
1746816472.248,353.610,351.240
1746816472.348,405.880,353.610
1746816472.448,355.450,405.880
1746816472.548,308.150,355.450
1746816472.648,357.540,308.150
1746816472.748,418.530,357.540
1746816472.848,361.160,418.530
1746816472.948,292.920,361.160
1746816473.049,359.260,292.920
1746816473.148,364.960,359.260
1746816473.248,364.960,364.960
1746816473.349,362.870,364.960
1746816473.448,367.800,362.870
